#RPLIDAR SCAN DATA
#COUNT=749
#Angule	Distance	Quality
352.4634 3136.0 188
353.2324 3132.0 188
357.0282 3808.0 188
357.2809 3768.0 188
357.5446 3712.0 188
357.7917 3664.0 188
358.0609 3608.0 188
358.3081 3564.0 188
358.5608 3556.0 188
358.8245 3560.0 188
359.0771 3572.0 188
359.3408 3564.0 188
359.5935 3564.0 188
359.8407 3572.0 188
0.1044 3588.0 188
0.3571 3600.0 188
0.6207 3616.0 188
0.8734 3636.0 188
1.1206 3644.0 188
1.3898 3648.0 188
1.6370 3652.0 188
1.9061 3672.0 188
2.3566 4280.0 188
2.6093 4296.0 188
2.8729 4312.0 188
3.1201 4328.0 188
3.3728 4344.0 188
3.8892 4360.0 188
4.9219 4400.0 188
5.1691 4448.0 188
5.4327 4456.0 188
5.6854 4472.0 188
5.9491 4496.0 188
6.2018 4520.0 188
6.4490 4536.0 188
6.9653 4480.0 188
10.8105 4768.0 188
11.5741 4768.0 188
12.1509 3760.0 188
12.4036 3724.0 188
12.6672 3716.0 188
12.9199 3712.0 188
13.1671 3716.0 188
13.4363 3720.0 188
13.6835 3724.0 188
13.9526 3736.0 188
14.1998 3788.0 188
14.4635 3800.0 188
14.7162 3728.0 188
14.9634 3736.0 188
15.2325 3760.0 188
15.4797 3752.0 188
15.7489 3756.0 188
15.9961 3752.0 188
16.2488 3756.0 188
16.5125 3756.0 188
16.7651 3756.0 188
17.0288 3772.0 188
17.7924 3740.0 188
18.7646 4352.0 188
19.2810 4352.0 188
19.6545 3192.0 188
19.9017 3208.0 188
20.1544 3228.0 188
20.9344 3248.0 188
21.6376 1560.0 188
21.9012 1546.0 188
22.2144 1522.0 188
27.5922 718.0 188
27.8558 718.0 188
28.1085 718.0 188
28.3722 718.0 188
28.6249 720.0 188
28.8885 720.0 188
29.4049 718.0 188
36.4526 1096.0 188
36.6998 1102.0 188
36.9635 1106.0 188
37.2162 1114.0 188
39.5288 3052.0 188
39.7760 3060.0 188
39.9792 3084.0 188
40.2484 3124.0 188
40.4956 3180.0 188
40.7648 3216.0 188
41.0120 3236.0 188
48.2135 457.0 188
48.4662 456.0 188
48.7793 454.0 188
49.0265 451.0 188
49.2957 450.0 188
49.5428 448.0 188
49.8560 446.0 188
50.1086 444.0 188
50.3723 442.0 188
50.6250 440.0 188
50.9326 438.0 188
51.1853 437.0 188
51.4490 436.0 188
51.7017 434.0 188
51.9653 435.0 188
52.2180 439.0 188
52.8717 448.0 188
53.6353 453.0 188
54.6240 417.0 188
55.3876 419.0 188
57.4969 415.0 188
57.7496 410.0 188
58.0133 410.0 188
58.5132 412.0 188
60.0897 441.0 188
60.6555 434.0 188
62.3254 454.0 188
62.7759 460.0 188
65.7806 644.0 188
66.5442 640.0 188
68.4338 421.0 188
68.6865 421.0 188
68.9502 421.0 188
69.2029 421.0 188
69.5105 416.0 188
69.7632 416.0 188
69.9664 420.0 188
70.2301 422.0 188
70.4828 422.0 188
70.7300 421.0 188
70.9991 422.0 188
71.2463 423.0 188
71.4496 424.0 188
71.7627 423.0 188
72.0264 423.0 188
72.2296 424.0 188
72.4823 424.0 188
72.7460 424.0 188
73.0591 423.0 188
73.2458 424.0 188
73.5150 425.0 188
73.7622 425.0 188
74.0259 424.0 188
74.2786 425.0 188
74.5422 426.0 188
74.7949 426.0 188
75.0586 427.0 188
75.3113 427.0 188
75.5750 427.0 188
75.8276 427.0 188
76.0913 427.0 188
76.8549 428.0 188
77.4481 385.0 188
77.7612 384.0 188
78.0304 384.0 188
